product_id,product_standard_name,merchant,merchant_sku,missing_input,blocked_by
MPL-00008,Compact vacuum with attachments,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00010,"Keep, Relocate, Donate, Recycle, Trash container set",target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00012,Portable label maker,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00009,Portable cleaning caddy,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00013,Removable write-on labels,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00001,Neutral pH multi-surface cleaner,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00006,Color-coded microfiber cloth set,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00098,Moisture Absorber or Humidity Monitor,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00016,Impact-rated safety glasses,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00003,Bathroom grime and soap-film cleaner,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00004,Food-area degreaser,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00002,Streak-free glass and mirror cleaner,target,,"search-result URL, not a product page (Phase 5 rule 7 rejects these); needs an approved publisher id, then a portal export or approved deep-link template",target: declined
MPL-00115,Self-closing oily rag can,(none chosen),,"no URL at all; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
MPL-00118,Scraper and absorbent entry mat set,homedepot,,"URL present but carries no approved affiliate tracking; needs an approved publisher id, then a portal export or approved deep-link template",no programme record for this merchant
