Tier,Product ID,Product Family,Category,Product Standard Name,Primary Purpose,Supported 6S Phases,Applicable Rooms,Required Level,Standard Quantity,Unit of Measure,Estimated Retail Low,Estimated Retail High,Safety / Compatibility Notes,_zone_count,Merchant,Merchant SKU,Affiliate URL,Commission %,Last Checked,Link Status,Notes,Why Recommended
1 Universal Kit,MPL-00008,Cleaning Tools,Vacuum,Compact vacuum with attachments,"Remove dust, crumbs, and debris",Shine,All,Core,1,each,80,250,Use appropriate attachment,114,target,,https://www.target.com/s?searchTerm=handheld+vacuum+with+attachments,,2026-09-04,Verified search,Retailer search for the product type. 21 of the first 24 results matched vacuum when rendered 2026-09-04. No affiliate code.,"Difficult cleaning is a root cause, and in a micro zone the obstacle is the seam, track and corner a broom cannot reach. The crevice attachment is the part that matters here, not the motor."
1 Universal Kit,MPL-00010,Sort & Routing,Sort Containers,"Keep, Relocate, Donate, Recycle, Trash container set",Support rapid item routing during Sort,Sort,All,Core,5,containers,15,50,Do not block exits,114,target,,https://www.target.com/s?searchTerm=storage+totes+with+lids,,2026-09-04,Verified search,Retailer search for the product type. 23 of the first 24 results matched tote/storage/bin when rendered 2026-09-04. No affiliate code.,"Sort is a decision and a decision needs somewhere to put the answer. Five labelled containers turn a vague clear-out into five finished piles, which is why this comes before any organiser."
1 Universal Kit,MPL-00012,Visual Controls,Label Maker,Portable label maker,Create durable standardized labels,Standardize; Sustain,All,Core,1,each,25,60,Follow surface and adhesive guidance,114,target,,https://www.target.com/s?searchTerm=label+maker,,2026-09-04,Verified search,Retailer search for the product type. 24 of the first 24 results matched label when rendered 2026-09-04. No affiliate code.,An inconsistent standard is a root cause: the zone only holds if the right state is obvious to somebody who was not there when you set it. A printed label survives that person; a memory does not.
1 Universal Kit,MPL-00009,Cleaning Tools,Portable Caddy,Portable cleaning caddy,Transport and contain cleaning inputs,Straighten; Shine; Sustain,All,Core,1,each,10,35,Secure chemicals from children and pets,114,target,,https://www.target.com/s?searchTerm=cleaning+caddy,,2026-09-04,Verified search,Retailer search for the product type. 7 of the first 24 results matched caddy when rendered 2026-09-04. No affiliate code.,"Too many steps is the reason cleaning stops happening. Walking back to the cupboard mid-zone costs more than the wipe does, so the inputs travel with you."
1 Universal Kit,MPL-00013,Visual Controls,Removable Labels,Removable write-on labels,Create temporary or adjustable visual controls,Standardize,All,Core,1,pack,6,18,Test on delicate finishes,114,target,,https://www.target.com/s?searchTerm=removable+write+on+labels,,2026-09-04,Verified search,Retailer search for the product type. 19 of the first 24 results matched label when rendered 2026-09-04. No affiliate code.,"A first standard is usually slightly wrong. Removable labels let you correct it in a second, so people fix the system instead of living around it."
1 Universal Kit,MPL-00001,Cleaning Supplies,General Cleaner,Neutral pH multi-surface cleaner,Routine cleaning of sealed surfaces,Shine; Sustain,All,Core,1,bottle,6,15,Verify surface compatibility; lock around children and pets,112,target,,https://www.target.com/s?searchTerm=ph+neutral+all+purpose+cleaner,,2026-09-04,Verified search,Retailer search for the product type. 22 of the first 24 results matched cleaner when rendered 2026-09-04. No affiliate code.,"Excess quantity applies under the sink too. One neutral cleaner covers nearly every sealed surface in the house, which replaces six bottles and removes the choice that stalls the job."
1 Universal Kit,MPL-00006,Cleaning Tools,Microfiber Cloths,Color-coded microfiber cloth set,"Wipe, dust, and dry surfaces",Shine,All,Core,12,cloths,15,40,Wash by use color; avoid fabric softener,111,target,,https://www.target.com/s?searchTerm=microfiber+cleaning+cloths,,2026-09-04,Verified search,Retailer search for the product type. 11 of the first 24 results matched microfiber when rendered 2026-09-04. No affiliate code.,Colour coding is a visual control. One colour per job stops the bathroom cloth reaching the kitchen counter without anybody having to remember a rule.
1 Universal Kit,MPL-00098,Visual Controls & Safety,Humidity control monitor,Moisture Absorber or Humidity Monitor,Detect and reduce moisture risk in enclosed storage,Safety; Sustain,Bathroom; Closet; Garage; Patio or Deck,Recommended,1,each,10,35,Install and use according to product instructions,109,target,,https://www.target.com/s?searchTerm=moisture+absorber+damp,,2026-09-04,Verified search,Retailer search for the product type. 4 of the first 24 results matched moisture/damprid/dehumidifier when rendered 2026-09-04. No affiliate code.,"Damp is the root cause that turns a storage problem into a ruined one, and it is invisible until it is not. Enclosed zones get it measured rather than guessed."
2 Core,MPL-00016,Safety,Safety Glasses,Impact-rated safety glasses,Protect eyes during garage and workshop resets,Safety,Garage; Workshop; Patio or Deck,Core,1,pair,8,25,Use rated protection appropriate to task,33,homedepot,,https://www.homedepot.com/s/safety%20glasses,,2026-09-04,Verified search,Retailer search for the product type. 12 of the first 12 results matched safety-glass/eye-protection when rendered 2026-09-04. No affiliate code.,Unsafe placement in a garage reset is mostly overhead and mostly dust. Eye protection is the cheapest condition on doing the work at all.
2 Core,MPL-00003,Cleaning Supplies,Bathroom Cleaner,Bathroom grime and soap-film cleaner,"Clean tubs, showers, sinks, and tile",Shine,Primary Bathroom; Guest Bathroom,Core,1,bottle,6,15,Never mix cleaners; verify stone compatibility,13,target,,https://www.target.com/s?searchTerm=bathroom+cleaner+soap+scum,,2026-09-04,Verified search,Retailer search for the product type. 18 of the first 24 results matched bathroom/scum/shower/tub when rendered 2026-09-04. No affiliate code.,"Soap film is difficult cleaning made routine: it rebuilds weekly, so the standard fails unless the right product is already in the zone."
