episode_code,room_index,zone_index,room,zone,title,runtime,thumbnail_text,shorts_count,status_script,status_shot,status_edit,status_published,publish_order,notes
MZ-001,R01,R01.01,Entryway,The Landing Spot,"Entryway Landing Spot Reset: Keys, Mail, and the Paper With No Verdict",7–9 min,"Act, file, or recycle",6,not started,not started,not started,no,1,
MZ-002,R01,R01.02,Entryway,The Coats and Outerwear,"Entryway Coat Rail Reset: Count Coats by Weather, Not by Number",9–12 min,One coat per weather,6,not started,not started,not started,no,2,
MZ-003,R01,R01.03,Entryway,The Shoes and Boots,Entryway Shoe Rack Reset: Turn the Shoe Over and Let the Sole Decide,7–9 min,The sole decides,6,not started,not started,not started,no,3,
MZ-004,R01,R01.04,Entryway,The Bench or Console,Entry Bench Reset: Giving the Junk Drawer One Job,7–9 min,Need it in shoes?,6,not started,not started,not started,no,4,
MZ-005,R01,R01.05,Entryway,"The Door, Mat, and Immediate Floor",Doormat Reset: How to Tell When a Mat Has Stopped Working,5–7 min,Is your mat finished?,6,not started,not started,not started,no,5,
MZ-006,R02,R02.01,Kitchen,The Primary Prep Counter,How to Reset a Kitchen Prep Counter with 6S,9–12 min,"One board, nothing else",6,not started,not started,not started,no,6,
MZ-007,R02,R02.02,Kitchen,The Cooking Zone,"6S for the Cooking Zone: Hob, Hood Filter, Spices, and the Utensil Crock",9–12 min,Six tools in the crock,6,not started,not started,not started,no,7,
MZ-008,R02,R02.03,Kitchen,The Sink and Dishwashing Zone,The Empty Sink Standard: 6S for the Sink and Dishwashing Zone,7–9 min,"Empty sink, dry basin",6,not started,not started,not started,no,8,
MZ-009,R02,R02.04,Kitchen,The Upper Cabinets,"6S for Upper Kitchen Cabinets: Mugs, Plates, and the Second Set of Dishes",7–9 min,Count the mugs honestly,6,not started,not started,not started,no,9,
MZ-010,R02,R02.05,Kitchen,The Lower Cabinets and Cookware,6S for Pots and Pans: Resetting the Lower Cookware Cabinet,9–12 min,Stacks capped at three,6,not started,not started,not started,no,10,
MZ-011,R02,R02.06,Kitchen,The Utensil and Utility Drawers,"6S for Kitchen Drawers: Flatware, Wraps, and the Drawer Everyone Calls Junk",5–7 min,One job per drawer,6,not started,not started,not started,no,11,
MZ-012,R02,R02.07,Kitchen,The Refrigerator and Freezer,"6S Refrigerator and Freezer Reset: Label, Date, and the Eat-First Bin",9–12 min,Name it and date it,6,not started,not started,not started,no,12,
MZ-013,R03,R03.01,Pantry,The Dry Goods Shelves,"Pantry Dry Goods Shelves: The Full 6S Reset, Sort to Sustain",9–12 min,"Open bag, no date",6,not started,not started,not started,no,13,
MZ-014,R03,R03.02,Pantry,The Canned and Jarred Goods,Pantry Cans and Jars: Reading Every Date and Rebuilding the Rows,7–9 min,Turn every can,6,not started,not started,not started,no,14,
MZ-015,R03,R03.03,Pantry,The Baking Zone,Pantry Baking Shelf: Testing Leaveners and Settling the Kit,7–9 min,"Baked twice, keep it",6,not started,not started,not started,no,15,
MZ-016,R03,R03.04,Pantry,The Snack and Lunch Zone,Pantry Snack and Lunch Shelf: A Yes Bin at Child Height,7–9 min,Let the bin answer,6,not started,not started,not started,no,16,
MZ-017,R03,R03.05,Pantry,The Backstock and Bulk,Pantry Backstock and Bulk: Setting an Honest Maximum on the Shelf Edge,9–12 min,Write the maximum down,6,not started,not started,not started,no,17,
MZ-018,R04,R04.01,Dining Room,The Dining Table,Dining Table Reset: Getting the Table Back From Homework and Mail,7–9 min,"Bare Wood, One Centerpiece",6,not started,not started,not started,no,18,
MZ-019,R04,R04.02,Dining Room,The Sideboard Surface,Sideboard Surface Reset: Tape a Serving Run and Keep It Clear,5–7 min,Tape The Serving Run,6,not started,not started,not started,no,19,
MZ-020,R04,R04.03,Dining Room,The Sideboard Storage,"Sideboard Storage Reset: Linens, Platters and a Count Card",9–12 min,Roll It With Its Napkins,6,not started,not started,not started,no,20,
MZ-021,R04,R04.04,Dining Room,The China or Display Cabinet,"China Cabinet Reset: Anchor It, Stack It Safely, and Use What You Keep",9–12 min,"Anchor It, Stack Eight High",6,not started,not started,not started,no,21,
MZ-022,R04,R04.05,Dining Room,The Beverage or Coffee Station,"Coffee Station Reset: One Tray, One Outlet and a One Week Tally",7–9 min,"Two Machines, One Week",6,not started,not started,not started,no,22,
MZ-023,R05,R05.01,Living Room,The Sofa and Seating,"Sofa Reset: Seats That Hold People, Not Storage",7–9 min,Seats Hold People,6,not started,not started,not started,no,23,
MZ-024,R05,R05.02,Living Room,The Coffee Table,Coffee Table Reset: The Tray Sets the Limit,5–7 min,If It Fits The Tray,6,not started,not started,not started,no,24,
MZ-025,R05,R05.03,Living Room,The Media Center,Behind the TV: Label Every Cable and Anchor the Screen,9–12 min,Name It Or It Goes,6,not started,not started,not started,no,25,
MZ-026,R05,R05.04,Living Room,The Bookshelves and Display,"Bookshelf Reset: One Shelf at a Time, Strapped to the Wall",9–12 min,Would You Open It Again,6,not started,not started,not started,no,26,
MZ-027,R05,R05.05,Living Room,The Side Tables and Lighting,"Side Table Reset: Four Items, One Cord, Nothing Loose",5–7 min,Four Items On The Tray,6,not started,not started,not started,no,27,
MZ-028,R05,R05.06,Living Room,The Floor and Circulation Path,Living Room Floor Reset: Clear the Route Door to Door,5–7 min,"Full Width, Always",6,not started,not started,not started,no,28,
MZ-029,R06,R06.01,Family Room,The Primary Media Zone,Media Cabinet Reset: Label Every Cable and Settle the Old Console,9–12 min,Label Both Cable Ends,6,not started,not started,not started,no,29,
MZ-030,R06,R06.02,Family Room,The Toy and Play Zone,"Five Open Bins, No Lids: A Toy Shelf a Four-Year-Old Can Reset Alone",9–12 min,"No Lids, Photo Labels",6,not started,not started,not started,no,30,
MZ-031,R06,R06.03,Family Room,The Board Game and Puzzle Zone,Count It Back In: A Game Shelf Where Every Box Is Playable Tonight,7–9 min,Missing Piece: Two Answers,6,not started,not started,not started,no,31,
MZ-032,R06,R06.04,Family Room,The Blanket and Comfort Zone,"One Basket, One Rule: Sorting Throw Blankets by Use Instead of Looks",5–7 min,"Reaches, Not Looks",6,not started,not started,not started,no,32,
MZ-033,R06,R06.05,Family Room,The Charging and Device Zone,"One Strip, Named Slots: Setting Up a Family Charging Station",7–9 min,One Named Slot Each,6,not started,not started,not started,no,33,
MZ-034,R06,R06.06,Family Room,The Craft and Activity Zone,Bins Named for What They Make: Resetting a Family Craft Corner,9–12 min,Name The Next Action,6,not started,not started,not started,no,34,
MZ-035,R07,R07.01,Primary Bedroom,The Bed and Bedding Zone,Bed and Bedding: Two Sheet Sets and a Clear Floor,7–9 min,"Two Sheet Sets, Not Five",6,not started,not started,not started,no,35,
