post_num,day,slot,time_mt,source,pillar,visual,caption
1,1,AM,8:00 AM,Series kickoff,F,Text only,"For the next 9 weeks I'm sharing the complete methodology from Process Kaizen — chapter by chapter, twice a day, in order.

This is the same playbook I use on every consulting engagement. Forty-five days from now, you'll have the full toolkit for running a Kaizen Event from charter to control plan.

If you've ever wondered why most process improvement work doesn't stick — this is going to be useful.

First topic: what a Kaizen Event actually is, and why the format matters more than the tools."
2,1,PM,1:00 PM,Foundation: What is Kaizen,F,Text only,"Kaizen is Japanese for gradual, unending improvement.

A Kaizen Event is the structured way to do it: five focused days, the right people in the room, a single process targeted for change, and implemented improvements demonstrated by Friday.

It's not a workshop. Workshops produce reports.
It's not a brainstorm. Brainstorms produce ideas.
It's an event — with a charter, a baseline, a measurement system, and a control plan.

The format is what makes it work."
3,2,AM,8:00 AM,Foundation: Six Guiding Principles,F,six_guiding_principles.png,"Six principles hold every Lean system together:

1. Specify value from the customer's perspective
2. Identify the value stream and eliminate the waste in it
3. Make the value-creating steps flow
4. Let the customer pull value through the process
5. Pursue perfection
6. Respect every person involved in the work

Notice what's not on this list: tools.

Tools come last. These principles come first — and they're what separates a Lean transformation from a flavor-of-the-month initiative."
4,2,PM,1:00 PM,Foundation: Lean Thinking,M,Text only,"Lean Thinking is a methodology, not a toolkit.

It came out of postwar Toyota and was formalized in the West in the 1990s. The core insight: most of what happens in any process doesn't add value to the customer.

In a typical office process, 98% of cycle time is lag. Queues. Approvals. Outboxes. Handoffs. Only about 2% is actual work.

Once you see this ratio, you can't unsee it. And it changes how you measure everything."
5,3,AM,8:00 AM,Foundation: Six Sigma,T,Text only,"Six Sigma is the statistical sibling of Lean.

Where Lean focuses on eliminating waste, Six Sigma focuses on eliminating variation. The two are complementary, and most modern practice (Lean Six Sigma) uses both.

The vocabulary you'll hear over the next several weeks: DMAIC. Sigma levels. DPMO. Cause and Effect Matrix. FMEA. Risk Priority Number.

Each one will be explained in plain English. No statistics degree required."
6,3,PM,1:00 PM,Foundation: 6S,S,6s_system.png,"6S is where most Lean programs start. And where many programs fail to start.

Sort. Set in Order. Shine. Standardize. Sustain. Safety.

It looks like housekeeping. It is housekeeping. But it's also the foundation that makes everything else visible — waste, defects, near-misses, drift.

You can't improve a process you can't see clearly. 6S makes the process visible. Everything in the rest of the book depends on it."
7,4,AM,8:00 AM,Foundation: Visual Controls & Kanban,S,Text only,"Visual Controls let anyone — including a visitor walking through — understand the current state of a process at a glance.

Kanban is the most famous example: a card or signal that says when to produce, withdraw, or replenish.

Both rest on the same principle: information lives where the work happens. Not in a dashboard nobody opens. Not in a meeting once a month.

At the point of work. At the moment it's needed."
8,4,PM,1:00 PM,Foundation: Pull Systems & One-Piece Flow,M,Text only,"Push: ""We made it, here it is, deal with it.""
Pull: ""The customer asked, so we made it.""

Push systems accumulate inventory, hide problems, and reward overproduction. Pull systems force the upstream to listen to the downstream.

One-piece flow is pull taken to its logical end. Batch size of one. Each unit moves through the process individually. Problems surface in seconds, not in next quarter's audit."
9,5,AM,8:00 AM,Foundation: DMAIC Methodology,T,dmaic_cycle.png,"DMAIC is the project structure for every Kaizen Event:

Define — scope and charter
Measure — size the current state
Analyze — find the few critical inputs
Improve — implement and demonstrate
Control — sustain the gains

The seven chapters of Process Kaizen map directly to this. Most failures happen because teams skip a phase — usually Define or Control. Don't.

The discipline is what makes the methodology work."
10,5,PM,1:00 PM,Foundation: The Kaizen Event Process,E,Text only,"A 5-day Kaizen Event has three parts:

Days 1-2: Define and Measure. Map the process. Size the waste. Build consensus on the current state.

Days 3-4: Analyze and Improve. Find the critical inputs. Implement the fixes.

Day 5: Demonstrate. Show the work to the sponsor. Sign the Control Plan.

If you can't get the right people for five focused days, you're not running an event. You're running a workshop."
